timestamp,serverPort,relayDelay
2025-02-14T00:35:47.566Z,3009,3
2025-02-14T00:35:47.576Z,3009,3
2025-02-14T00:35:47.590Z,3009,2
2025-02-14T00:35:47.601Z,3009,7
2025-02-14T00:35:47.612Z,3009,2
2025-02-14T00:35:47.618Z,3009,6
2025-02-14T00:35:47.626Z,3009,3
2025-02-14T00:35:47.634Z,3009,3
2025-02-14T00:35:47.638Z,3009,3
2025-02-14T00:35:47.645Z,3009,4
2025-02-14T00:35:48.190Z,3009,17
2025-02-14T00:35:48.201Z,3009,1
2025-02-14T00:35:48.209Z,3009,3
2025-02-14T00:35:48.237Z,3009,4
2025-02-14T00:35:48.259Z,3009,3
2025-02-14T00:35:48.277Z,3009,2
2025-02-14T00:35:48.300Z,3009,3
2025-02-14T00:35:48.312Z,3009,6
2025-02-14T00:35:48.351Z,3009,2
2025-02-14T00:35:48.367Z,3009,3
2025-02-14T00:35:48.635Z,3007,2
2025-02-14T00:35:48.649Z,3007,2
2025-02-14T00:35:48.661Z,3007,3
2025-02-14T00:35:48.681Z,3007,2
2025-02-14T00:35:48.692Z,3007,3
2025-02-14T00:35:48.705Z,3000,3
2025-02-14T00:35:48.712Z,3007,3
2025-02-14T00:35:48.729Z,3007,3
2025-02-14T00:35:48.735Z,3000,2
2025-02-14T00:35:48.745Z,3007,3
2025-02-14T00:35:48.759Z,3007,3
2025-02-14T00:35:48.764Z,3000,7
2025-02-14T00:35:48.770Z,3007,3
2025-02-14T00:35:48.793Z,3007,3
2025-02-14T00:35:48.798Z,3009,3
2025-02-14T00:35:48.808Z,3009,2
2025-02-14T00:35:48.821Z,3007,3
2025-02-14T00:35:48.834Z,3007,3
2025-02-14T00:35:48.840Z,3000,2
2025-02-14T00:35:48.853Z,3009,3
2025-02-14T00:35:48.855Z,3000,3
2025-02-14T00:35:48.869Z,3007,1
2025-02-14T00:35:48.888Z,3009,4
2025-02-14T00:35:48.899Z,3007,4
2025-02-14T00:35:48.923Z,3007,6
2025-02-14T00:35:48.931Z,3009,3
2025-02-14T00:35:48.949Z,3009,2
2025-02-14T00:35:48.961Z,3009,3
2025-02-14T00:35:48.969Z,3009,3
2025-02-14T00:35:48.973Z,3009,3
2025-02-14T00:35:48.980Z,3009,3
2025-02-14T00:35:48.992Z,3009,4
2025-02-14T00:35:49.017Z,3009,3
2025-02-14T00:35:49.018Z,3009,3
2025-02-14T00:35:49.036Z,3009,3
2025-02-14T00:35:49.060Z,3009,2
2025-02-14T00:35:49.113Z,3000,3
2025-02-14T00:35:49.127Z,3000,3
2025-02-14T00:35:49.137Z,3000,3
2025-02-14T00:35:49.152Z,3000,3
2025-02-14T00:35:49.163Z,3000,3
2025-02-14T00:35:49.167Z,3000,3
2025-02-14T00:35:49.185Z,3009,2
2025-02-14T00:35:49.203Z,3007,4
2025-02-14T00:35:49.205Z,3009,1
2025-02-14T00:35:49.208Z,3007,4
2025-02-14T00:35:49.224Z,3007,2
2025-02-14T00:35:49.233Z,3009,3
2025-02-14T00:35:49.244Z,3007,3
2025-02-14T00:35:49.255Z,3009,3
2025-02-14T00:35:49.259Z,3007,2
2025-02-14T00:35:49.265Z,3009,3
2025-02-14T00:35:49.313Z,3007,3
2025-02-14T00:35:49.322Z,3007,2
2025-02-14T00:35:49.350Z,3007,3
2025-02-14T00:35:49.367Z,3007,5
2025-02-14T00:35:49.373Z,3007,3
2025-02-14T00:35:49.391Z,3007,3
2025-02-14T00:35:49.406Z,3007,2
2025-02-14T00:35:49.414Z,3007,3
2025-02-14T00:35:49.428Z,3007,2
2025-02-14T00:35:49.439Z,3007,2
2025-02-14T00:35:49.443Z,3007,3
2025-02-14T00:35:49.456Z,3007,2
2025-02-14T00:35:49.465Z,3007,3
2025-02-14T00:35:49.476Z,3007,4
2025-02-14T00:35:49.495Z,3007,2
2025-02-14T00:35:49.512Z,3007,3
2025-02-14T00:35:49.518Z,3007,2
2025-02-14T00:35:49.541Z,3007,3
2025-02-14T00:35:49.550Z,3007,3
2025-02-14T00:35:49.590Z,3007,2
2025-02-14T00:35:49.596Z,3007,2
2025-02-14T00:35:49.598Z,3007,2
2025-02-14T00:35:49.607Z,3007,2
2025-02-14T00:35:49.612Z,3007,2
2025-02-14T00:35:49.637Z,3007,2
2025-02-14T00:35:49.665Z,3007,3
2025-02-14T00:35:49.671Z,3007,1
2025-02-14T00:35:49.674Z,3007,1
2025-02-14T00:35:49.676Z,3007,3
2025-02-14T00:35:49.678Z,3000,2
2025-02-14T00:35:49.680Z,3007,2
2025-02-14T00:35:49.685Z,3007,2
2025-02-14T00:35:49.691Z,3000,3
2025-02-14T00:35:49.700Z,3000,3
